"","All","X1","X2","X3","X4","X5"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales","0.107604994324631","0.130533484676504","0.125993189557321","0.114642451759364","0.0556186152099886","0.111237230419977"
"34","","","","","",""
"family","-1","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified.Sordariomycetes_unidentified_1","0.062883087400681","0.0692395005675369","0.0964812712826334","0.00340522133938706","0.0658342792281498","0.0794551645856981"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales.Atheliaceae","0.0608399545970488","0.0998864926220204","0.0715096481271283","0.0488081725312145","0.0419977298524404","0.0419977298524404"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.Boletaceae","0.0610669693530079","0.00908059023836549","0.0715096481271283","0.039727582292849","0.104426787741203","0.0805902383654938"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.unclassified","0.152326901248581","0","0.0147559591373439","0.259931895573212","0.346197502837684","0.140749148694665"
"Fungi.Basidiomycota.Agaricomycetes.unclassified.unclassified","0.0801362088535755","0.103291713961407","0.0567536889897843","0.0828603859250851","0.0635641316685585","0.094211123723042"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales.Chionosphaeraceae","0.0417707150964813","0.110102156640182","0.0374574347332577","0.0204313280363224","0.00908059023836549","0.0317820658342792"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1.Basidiomycota_unidentified_1","0.161861520998865","0.179341657207718","0.212258796821793","0.146424517593644","0.0930760499432463","0.178206583427923"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales.Trichosporonaceae","0.0519863791146425","0.039727582292849","0.039727582292849","0.0442678774120318","0.0431328036322361","0.0930760499432463"
"Fungi.Basidiomycota.unclassified.unclassified.unclassified","0.0501702610669694","0.0601589103291714","0.0862656072644722","0.0556186152099886","0.0204313280363224","0.0283768444948922"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1.Chytridiomycota_unidentified_1","0.0385925085130533","0.0839954597048808","0.0136208853575482","0.0556186152099886","0.0295119182746879","0.0102156640181612"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales.Glomeraceae","0.130760499432463","0.114642451759364","0.17366628830874","0.128263337116913","0.127128263337117","0.110102156640182"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales.Mycocladaceae","0.107604994324631","0.130533484676504","0.125993189557321","0.114642451759364","0.0556186152099886","0.111237230419977"
